ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784668652,1.73,274132,3601316,37972
1784668653,1.73,295696,3579896,37972
1784668654,1.73,302480,3572860,37485
1784668655,1.73,302716,3572876,37972
1784668656,1.59,302952,3572640,37972
1784668657,1.59,302700,3572892,38459
1784668658,1.59,299928,3576108,36998
1784668659,1.59,297860,3577732,38459
1784668660,1.59,296388,3579204,38459
1784668661,1.70,295880,3579964,37972
1784668663,1.70,294756,3580584,38459
1784668664,1.70,294152,3581440,38459
1784668665,1.70,293908,3582176,38459
1784668666,1.70,291172,3584168,38459
1784668667,1.57,291096,3584748,37485
1784668668,1.57,290608,3584984,38459
1784668669,1.57,290144,3585552,38946
1784668670,1.57,289800,3585792,38459
1784668671,1.57,289656,3585936,38946
1784668672,1.84,289592,3585748,37972
1784668673,1.84,289812,3586224,38459
1784668674,1.84,289316,3586976,38459
1784668675,1.84,288860,3586732,38459
1784668676,1.69,288780,3586812,38459
1784668677,1.69,288664,3586928,38459
1784668678,1.69,288116,3587476,38459
1784668679,1.69,288476,3587708,39433
1784668680,1.69,288012,3587624,39920
1784668682,1.64,288208,3587384,39433
1784668683,1.64,287948,3587644,37972
1784668684,1.64,287548,3588044,37972
1784668685,1.64,287548,3588504,39433
1784668686,1.64,287332,3588260,38459
1784668687,1.75,287476,3588116,38459
1784668688,1.75,287744,3587848,38459
1784668689,1.75,287448,3587892,38459
1784668690,1.75,287580,3588160,38459
1784668691,1.61,287288,3588304,38459
1784668692,1.61,286888,3588452,39433
1784668693,1.61,287288,3588304,37485
1784668694,1.61,287540,3588052,39433
1784668695,1.61,287540,3588052,38946
1784668696,1.48,288044,3587548,38946
1784668697,1.48,287848,3587744,38946
1784668698,1.48,287484,3588108,38459
1784668699,1.48,287144,3588448,38946
1784668701,1.48,287336,3587752,39433
1784668702,1.60,287544,3587988,38946
1784668703,1.60,287816,3587776,38946
1784668704,1.60,287816,3587776,38946
1784668705,1.60,287816,3587776,38946
1784668706,1.60,287416,3588176,38946
1784668707,1.63,287564,3587776,39433
