ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784235779,0.53,266788,3608848,37972
1784235780,0.53,293380,3582212,37485
1784235781,0.53,291084,3584508,37485
1784235782,0.65,290484,3585108,39433
1784235783,0.65,289288,3586304,37972
1784235784,0.65,289096,3586496,37972
1784235785,0.65,288844,3586748,38946
1784235786,0.84,288892,3586700,37972
1784235787,0.84,288180,3587412,38946
1784235788,0.84,287736,3587856,38459
1784235789,0.84,287288,3588600,37485
1784235791,0.84,286124,3589468,38459
1784235792,0.93,285548,3590044,38459
1784235793,0.93,285176,3589912,38946
1784235794,0.93,285436,3590156,38946
1784235795,0.93,285220,3590372,38946
1784235796,0.93,284952,3591232,38946
1784235797,1.02,284680,3590912,38459
1784235798,1.02,283932,3591156,39433
1784235799,1.02,283772,3591820,38946
1784235800,1.02,283520,3592072,38946
1784235801,1.02,282948,3592644,38946
1784235802,1.09,282936,3592656,39920
1784235803,1.09,282684,3592672,39920
1784235804,1.09,283024,3592568,38946
1784235805,1.09,282796,3592944,39433
1784235806,1.17,282964,3592628,39920
1784235807,1.17,282684,3592908,39920
1784235808,1.17,282748,3592844,39433
1784235809,1.17,282432,3593160,39920
1784235811,1.17,282284,3593308,40894
1784235812,1.07,282432,3593160,38459
1784235813,1.07,282684,3592908,38946
1784235814,1.07,282432,3593160,39433
1784235815,1.07,282432,3593308,39433
1784235816,1.07,282432,3593160,38946
1784235817,1.07,282180,3593412,39433
1784235818,1.07,282432,3592908,39433
1784235819,1.07,282684,3592704,38459
1784235820,1.07,283092,3592500,40407
1784235821,1.07,283092,3592248,38946
1784235822,1.14,283568,3592172,40407
1784235823,1.14,283168,3592424,39920
1784235824,1.14,282824,3592768,39920
1784235825,1.14,282824,3592768,40407
1784235826,1.21,282684,3593248,40407
1784235827,1.21,282924,3593112,39920
1784235828,1.21,282660,3592932,39433
1784235829,1.21,283164,3592428,39920
1784235831,1.21,283416,3592176,39433
1784235832,1.27,283416,3592176,40407
1784235833,1.27,283268,3592768,40407
1784235834,1.27,282680,3592912,39920
