ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784226805,0.53,270460,3605576,36511
1784226806,0.53,290156,3585436,36511
1784226807,0.53,290148,3585444,35537
1784226808,0.53,290000,3585592,37485
1784226809,0.81,288588,3587004,37485
1784226811,0.81,285360,3590232,37485
1784226812,0.81,284796,3590796,36998
1784226813,0.81,283840,3591752,37972
1784226814,0.81,283400,3592192,37972
1784226815,1.07,281308,3594284,37972
1784226816,1.07,281136,3594456,37972
1784226817,1.07,280692,3594648,38459
1784226818,1.07,280328,3595264,38946
1784226819,1.07,279912,3595680,38459
1784226820,1.30,279100,3596492,38459
1784226821,1.30,278948,3596244,37972
1784226822,1.30,278856,3596736,39433
1784226823,1.30,279600,3595992,38459
1784226824,1.30,278756,3596836,38946
1784226825,1.52,278816,3596776,38946
1784226826,1.52,278656,3596936,39433
1784226827,1.52,278204,3597136,38459
1784226828,1.52,278520,3597072,38946
1784226829,1.72,278044,3597548,38459
1784226830,1.72,278068,3597524,38459
1784226832,1.72,277820,3597772,38459
1784226833,1.72,277776,3597816,39433
1784226834,1.72,277512,3597324,38946
1784226835,1.90,278364,3597228,37972
1784226836,1.90,277968,3597624,38946
1784226837,1.90,278220,3597372,39433
1784226838,1.90,277732,3597860,38946
1784226839,1.90,277808,3597784,38459
1784226840,2.15,277372,3597968,38946
1784226841,2.15,277592,3598000,39433
1784226842,2.15,277592,3598000,38459
1784226843,2.15,278096,3597496,38946
1784226844,2.15,277784,3597556,38459
1784226845,2.46,277160,3597928,39920
1784226846,2.46,277156,3598436,38459
1784226847,2.46,277912,3597680,40407
1784226848,2.46,277180,3598412,38946
1784226849,2.58,277432,3598160,39433
1784226850,2.58,277136,3598456,38459
1784226851,2.58,277612,3597728,38459
1784226853,2.58,277188,3598152,38946
1784226854,2.58,277156,3597932,38946
1784226855,2.69,276756,3598584,38946
1784226856,2.69,277008,3598332,39433
1784226857,2.69,276636,3598704,40407
1784226858,2.69,276856,3598484,39920
1784226859,2.69,277068,3598524,38459
1784226860,2.88,277320,3598272,40407
1784226861,2.88,276988,3598604,38946
1784226862,2.88,277692,3597900,39433
1784226863,2.88,277064,3598528,39433
1784226864,2.88,277032,3598308,39920
1784226865,2.97,277332,3598260,39920
1784226866,2.97,277432,3598160,39920
1784226867,2.97,277144,3598448,38946
1784226868,2.97,277336,3598256,39920
