ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784199245,0.65,265364,3610272,36024
1784199246,0.65,266984,3608624,37485
1784199247,0.68,282744,3592848,38946
1784199248,0.68,282288,3593052,38946
1784199249,0.68,282292,3593300,38459
1784199251,0.68,281988,3593604,38946
1784199252,0.68,281880,3593460,40407
1784199253,0.79,281824,3593516,39920
1784199254,0.79,281112,3594480,40407
1784199255,0.79,278956,3596932,40894
1784199256,0.79,277616,3597976,39920
1784199257,0.89,276140,3599452,39920
1784199258,0.89,275308,3600284,40407
1784199259,0.89,273604,3602092,40407
1784199260,0.89,272640,3602952,40894
1784199261,0.89,271864,3603728,40407
1784199262,0.89,270776,3604816,40894
1784199263,0.89,270468,3605228,39920
1784199264,0.89,269844,3605748,40407
1784199265,0.89,269264,3606076,40894
1784199266,0.89,268692,3606900,40407
1784199267,0.90,268456,3607136,39920
1784199268,0.90,267484,3608412,39920
1784199269,0.90,266748,3608844,39433
1784199271,0.90,266380,3609212,40407
1784199272,0.90,265740,3609852,41381
1784199273,0.99,265636,3609960,40407
1784199274,0.99,265736,3609960,40407
1784199275,0.99,265344,3609996,41381
1784199276,0.99,265804,3609796,39433
1784199277,1.07,265524,3610408,40894
1784199278,1.07,265616,3609976,39920
1784199279,1.07,265252,3610340,40407
1784199280,1.07,265144,3610448,41868
1784199281,1.07,264672,3610668,40407
1784199282,1.47,265408,3610440,41868
1784199283,1.47,265424,3610168,40407
1784199284,1.47,265044,3610548,41868
1784199285,1.47,265096,3610496,41381
1784199286,1.47,264156,3611376,41868
1784199287,1.51,264556,3611036,40894
1784199288,1.51,264184,3611408,39920
1784199289,1.51,263924,3611816,41381
1784199291,1.51,264128,3611464,40407
1784199292,1.51,263912,3611680,41381
1784199293,1.55,264664,3610928,40894
1784199294,1.55,264664,3611076,40894
1784199295,1.55,264252,3611340,41381
1784199296,1.55,264384,3611252,41868
1784199297,1.59,263808,3611532,40894
1784199298,1.59,263924,3611672,41381
1784199299,1.59,264240,3611100,40407
