ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784208437,0.60,267852,3607908,37485
1784208438,0.60,267708,3607884,37972
1784208439,0.63,275016,3600324,39433
1784208440,0.63,275260,3600332,38946
1784208442,0.63,274972,3600620,38946
1784208443,0.63,274332,3601260,38946
1784208444,0.63,274332,3601260,40407
1784208445,0.82,272924,3602668,40894
1784208446,0.82,272820,3602268,39920
1784208447,0.82,273224,3602116,39920
1784208448,0.82,273044,3602548,40407
1784208449,0.82,273776,3601816,38459
1784208450,1.07,273192,3602148,40407
1784208451,1.07,272948,3602392,40407
1784208452,1.07,272020,3603572,39920
1784208453,1.07,270908,3604684,40407
1784208454,1.15,270428,3605344,39433
1784208455,1.15,270752,3604840,39920
1784208456,1.15,270360,3605232,40894
1784208457,1.15,270020,3605572,40894
1784208458,1.15,269748,3605844,40894
1784208459,1.22,269584,3605756,39920
1784208460,1.22,269732,3605860,40894
1784208462,1.22,269480,3606112,40407
1784208463,1.22,269732,3605956,40894
1784208464,1.22,269188,3606404,40407
1784208465,1.36,269440,3606152,41381
1784208466,1.36,269796,3605796,41381
1784208467,1.36,269780,3605812,40407
1784208468,1.36,269928,3605664,41381
1784208469,1.36,269632,3605960,40407
1784208470,1.41,269144,3606448,39920
1784208471,1.41,268888,3606704,40894
1784208472,1.41,268824,3606516,40894
1784208473,1.41,269180,3606852,41381
1784208474,1.38,268708,3606884,41868
1784208475,1.38,268832,3606508,41381
1784208476,1.38,269084,3605752,42355
1784208477,1.38,268484,3606604,41381
1784208478,1.38,269124,3606468,41868
1784208479,1.35,269124,3606468,41868
1784208480,1.35,268656,3606936,40894
1784208481,1.35,268656,3606936,40894
1784208483,1.35,268364,3607228,41868
1784208484,1.35,268356,3606984,39920
1784208485,1.32,268352,3606988,41868
1784208486,1.32,268960,3606632,41868
1784208487,1.32,268588,3607184,41868
1784208488,1.32,268408,3607184,41381
1784208489,1.32,268660,3606680,40894
1784208490,1.61,269104,3606488,40894
1784208491,1.61,269100,3606492,42355
1784208492,1.61,269096,3606496,40894
1784208493,1.61,268664,3606676,42355
1784208494,1.73,268812,3606780,40894
1784208495,1.73,268412,3607180,41868
1784208496,1.73,268292,3607300,41381
1784208497,1.73,268796,3606796,41381
1784208498,1.73,268648,3606944,40894
1784208499,1.67,268672,3606920,41868
1784208500,1.67,268776,3607260,40894
1784208501,1.67,268196,3607588,41381
1784208503,1.67,267880,3607712,41381
1784208504,1.67,268384,3607208,41381
1784208505,1.77,268624,3606968,41381
1784208506,1.77,268508,3607084,42355
1784208507,1.77,268760,3606832,41381
1784208508,1.77,268968,3606624,41868
1784208509,1.77,268368,3607224,41868
1784208510,1.71,268620,3606972,40894
1784208511,1.71,268724,3606868,41381
1784208512,1.71,268620,3606720,41868
1784208513,1.71,268872,3607204,42842
1784208514,1.74,268744,3606596,42355
1784208515,1.74,269144,3606448,42355
1784208516,1.74,268892,3606448,41381
1784208517,1.74,269144,3606592,40894
1784208518,1.74,268820,3606772,41868
1784208519,1.76,268924,3606416,41868
1784208520,1.76,269072,3606520,41868
1784208521,1.76,268776,3606816,41868
1784208523,1.76,269028,3606564,41868
1784208524,1.76,268776,3606816,41381
1784208525,1.86,268524,3606816,40894
1784208526,1.86,268520,3607072,41868
1784208527,1.86,268092,3607648,43329
1784208528,1.86,267588,3607500,42355
1784208529,1.86,268084,3607508,41868
1784208530,1.87,268084,3607716,41868
1784208531,1.87,268380,3607212,42355
1784208532,1.87,267728,3607612,41868
1784208533,1.87,268232,3607464,42355
1784208534,1.96,268380,3607508,41868
1784208535,1.96,267864,3607728,42842
1784208536,1.96,267788,3607656,41381
1784208537,1.96,267640,3608100,41868
1784208538,1.96,267388,3607700,41868
1784208539,1.88,267684,3607908,41868
1784208540,1.88,267948,3607644,41381
1784208541,1.88,267616,3607472,41868
1784208543,1.88,268016,3607576,41868
1784208544,1.88,268772,3606820,42355
1784208545,1.81,268624,3606968,41381
1784208546,1.81,268772,3606968,41381
1784208547,1.81,268520,3607072,41381
1784208548,1.81,268772,3606820,42842
1784208549,1.81,268372,3607072,41381
1784208550,1.83,268440,3607344,43329
1784208551,1.83,268264,3607076,42355
1784208552,1.83,268412,3607076,40894
1784208553,1.83,268768,3606824,40894
1784208554,2.00,268916,3606736,42355
1784208555,2.00,269068,3606272,41868
1784208556,2.00,269276,3606848,41868
1784208557,2.00,268892,3606700,42355
1784208558,2.00,269328,3606012,41868
1784208559,2.16,269580,3605760,41381
1784208560,2.16,269344,3606248,42355
1784208561,2.16,269244,3606096,42842
1784208562,2.16,269272,3605816,41868
1784208564,2.16,269628,3606388,42842
1784208565,2.07,269352,3606240,42355
1784208566,2.07,269088,3606504,42355
1784208567,2.07,269192,3606400,41868
1784208568,2.07,269088,3606956,42355
1784208569,2.07,268888,3606452,42355
1784208570,1.98,268940,3606652,40894
1784208571,1.98,268836,3606000,41868
1784208572,1.98,269592,3606148,42842
1784208573,1.98,269260,3606080,41381
1784208574,1.90,268948,3606644,43329
1784208575,1.90,268696,3606896,42355
1784208576,1.90,268696,3606896,41868
1784208577,1.90,268948,3606940,42355
1784208578,1.90,268796,3606796,42355
1784208579,1.83,268796,3606516,41868
1784208580,1.83,269328,3606264,42355
1784208581,1.83,269216,3606228,41868
1784208582,1.83,268840,3607048,41868
1784208584,1.83,268720,3606872,42842
1784208585,1.76,268720,3606872,42842
1784208586,1.76,268452,3606636,41868
1784208587,1.76,269164,3606428,41868
1784208588,1.76,269096,3606496,41868
1784208589,1.76,269600,3605992,42355
1784208590,1.78,269852,3605740,41868
1784208591,1.78,269704,3605888,41868
1784208592,1.78,269348,3606244,42842
1784208593,1.78,269080,3606512,41868
1784208594,1.80,268888,3606452,42355
1784208595,1.80,269332,3605756,42842
1784208596,1.80,270088,3605944,41868
1784208597,1.80,269396,3605944,42842
1784208598,1.80,269140,3606452,41381
1784208599,1.74,269392,3606200,41381
1784208600,1.74,269496,3606096,42355
1784208601,1.74,269244,3606348,42355
1784208602,1.74,269272,3606320,42842
1784208604,1.74,269272,3606320,41868
1784208605,1.84,270084,3605508,41868
1784208606,1.84,269920,3605420,41381
1784208607,1.84,269676,3605916,41868
1784208608,1.84,269572,3605768,40894
1784208609,1.84,269696,3605896,40894
1784208610,1.85,269804,3605936,40894
