ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784198654,0.85,261808,3613576,36024
1784198655,0.85,260020,3615572,37485
1784198656,1.34,261732,3613608,37972
1784198658,1.34,261976,3613616,38459
1784198659,1.34,262208,3613384,37485
1784198660,1.34,262456,3612896,39920
1784198661,1.34,262936,3612656,38946
1784198662,1.47,263188,3612404,38946
1784198663,1.47,263180,3612412,39433
1784198664,1.47,262692,3612900,38459
1784198665,1.47,262568,3612668,39920
1784198666,1.47,264116,3611224,38946
1784198667,1.52,264168,3611424,38459
1784198668,1.52,264264,3611328,38946
1784198669,1.52,264156,3611436,38946
1784198670,1.52,264044,3611548,38946
1784198671,1.52,264028,3611564,39433
1784198672,1.87,263868,3611724,38459
1784198673,1.87,263972,3611620,39920
1784198674,1.87,263676,3611916,39433
1784198676,1.87,263376,3611964,38946
1784198677,1.88,263516,3612180,38946
1784198678,1.88,263124,3612468,39433
1784198679,1.88,262872,3612720,38946
1784198680,1.88,262712,3612880,39920
1784198681,1.88,262668,3612924,39433
1784198682,1.97,262656,3612936,38459
1784198683,1.97,262500,3612840,39920
1784198684,1.97,261956,3613636,39920
1784198685,1.97,262104,3613532,39920
1784198686,1.97,262712,3612880,38946
1784198687,1.90,262248,3613344,38946
1784198688,1.90,262244,3613348,39920
1784198689,1.90,262236,3613548,39920
1784198690,1.90,262504,3613088,39433
1784198691,1.98,262748,3612592,39920
1784198693,1.98,262996,3612744,39433
1784198694,1.98,262472,3612616,39433
1784198695,1.98,263076,3612520,39433
1784198696,1.98,262060,3613532,38459
1784198697,1.99,261896,3613800,39433
1784198698,1.99,261932,3613660,40407
1784198699,1.99,261780,3613916,40407
1784198700,1.99,261668,3613924,40407
1784198701,1.99,261656,3613936,39433
1784198702,2.39,261132,3614460,39920
1784198703,2.39,261632,3613960,39433
1784198704,2.39,261628,3613964,38459
1784198705,2.39,261372,3614220,39433
1784198706,2.39,261356,3614236,39920
1784198707,2.36,261204,3614388,38946
1784198708,2.36,261348,3614244,39920
1784198709,2.36,261348,3614244,39433
1784198711,2.36,261340,3614252,39433
1784198712,2.25,261328,3614264,40407
1784198713,2.25,261212,3614380,39920
1784198714,2.25,261316,3614024,38946
1784198715,2.25,261452,3614140,39920
1784198716,2.25,261452,3614140,39920
1784198717,2.15,261692,3613900,40407
1784198718,2.15,261400,3613940,39433
1784198719,2.15,261888,3613704,39433
1784198720,2.15,267416,3608280,40407
1784198721,2.15,294988,3580604,39920
1784198722,2.30,286896,3588696,40407
1784198723,2.30,286260,3589332,40407
1784198724,2.30,281284,3594308,39920
1784198725,2.30,279616,3595976,39433
1784198726,2.35,278436,3597156,40407
