ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784215184,0.93,271272,3604692,36998
1784215185,0.93,269660,3605932,38459
1784215187,0.93,283260,3592332,38459
1784215188,0.93,283244,3592096,38946
1784215189,1.02,283748,3591848,38946
1784215190,1.02,283744,3591848,39920
1784215191,1.02,283996,3591596,37972
1784215192,1.02,283536,3592056,40407
1784215193,1.02,282344,3593248,38946
1784215194,1.02,280596,3594996,39433
1784215195,1.02,278508,3598408,39433
1784215196,1.02,276088,3599504,39920
1784215197,1.02,275192,3600212,39920
1784215198,1.02,274200,3601392,39920
1784215199,0.94,272792,3602800,40407
1784215200,0.94,272004,3603588,40407
1784215201,0.94,271708,3604424,39433
1784215202,0.94,270972,3604368,38946
1784215203,0.86,271096,3604496,39433
1784215204,0.86,270092,3605968,39433
1784215205,0.86,269924,3605668,40407
1784215206,0.86,269876,3605908,39920
1784215208,0.86,269952,3605388,41381
1784215209,0.95,269656,3606040,40894
1784215210,0.95,269036,3606304,39920
1784215211,0.95,268384,3606956,39433
1784215212,0.95,268832,3606760,41381
1784215213,0.95,268204,3607388,39920
1784215214,1.04,267832,3607508,39920
1784215215,1.04,266884,3608560,40894
1784215216,1.04,267360,3607980,39920
1784215217,1.04,267588,3608152,40894
1784215218,1.04,267384,3608208,40407
1784215219,1.19,267032,3608832,40407
1784215220,1.19,267368,3607972,40894
1784215221,1.19,265616,3609472,41381
1784215222,1.19,265972,3609368,40894
1784215223,1.18,266120,3609472,40407
1784215224,1.18,265908,3609684,39920
1784215225,1.18,265732,3609608,41381
1784215226,1.18,266216,3609376,40894
1784215228,1.18,265800,3609540,40407
1784215229,1.32,265748,3609844,40407
1784215230,1.32,265880,3610016,40407
1784215231,1.32,265680,3610292,40894
1784215232,1.32,265796,3609796,40407
1784215233,1.32,265568,3610024,40407
1784215234,1.46,265420,3610172,40894
1784215235,1.46,265704,3610460,41381
1784215236,1.46,265360,3610232,40407
1784215237,1.46,265284,3610308,40407
1784215238,1.46,265216,3610376,40407
1784215239,1.50,265748,3610080,40407
1784215240,1.50,265972,3609620,40407
1784215241,1.50,265524,3610068,40894
1784215242,1.50,265708,3609884,41381
1784215243,1.54,265536,3610056,40894
1784215244,1.54,265600,3609992,41381
1784215245,1.54,265604,3609988,40407
1784215246,1.54,265476,3610116,40894
1784215247,1.54,265080,3610836,40894
1784215249,1.50,265260,3610332,39920
1784215250,1.50,265048,3610544,40407
1784215251,1.50,265552,3610040,41381
1784215252,1.50,265820,3609520,40407
1784215253,1.50,265620,3609972,40407
1784215254,1.46,265600,3609992,40894
1784215255,1.46,265540,3610052,40407
1784215256,1.46,265540,3610052,41381
1784215257,1.46,265660,3609952,41381
1784215258,1.46,265744,3610040,41381
1784215259,1.50,265364,3609976,40894
1784215260,1.50,265428,3610164,40894
1784215261,1.50,265284,3610308,40407
1784215262,1.50,265092,3610500,40407
1784215263,1.50,265188,3609900,41381
1784215264,1.78,265692,3609900,41381
1784215265,1.78,266196,3609396,39920
1784215266,1.78,265884,3609204,40407
1784215267,1.78,265884,3609500,41381
1784215269,1.88,265668,3609924,41381
1784215270,1.88,265528,3609812,41381
1784215271,1.88,266032,3609752,41868
1784215272,1.88,266156,3609436,39920
1784215273,1.88,265864,3610320,39920
1784215274,1.89,265368,3609972,39920
1784215275,1.89,265472,3610120,40407
1784215276,1.89,265872,3609972,39920
1784215277,1.89,265456,3609884,40894
1784215278,1.89,266212,3609380,40894
1784215279,1.82,266116,3609224,39920
1784215280,1.82,266008,3609584,41868
1784215281,1.82,266408,3609184,40407
1784215282,1.82,266484,3609404,40407
1784215283,1.82,265996,3609596,40407
1784215284,1.91,266092,3609500,41381
1784215285,1.91,266092,3609648,41381
1784215286,1.91,266040,3609552,40894
1784215287,1.91,265912,3609680,40894
1784215288,2.08,266164,3609428,40894
1784215290,2.08,266108,3609484,41381
1784215291,2.08,266120,3609472,40407
1784215292,2.08,265840,3609500,40407
1784215293,2.08,265712,3609880,39920
1784215294,2.15,265564,3610028,41381
1784215295,2.15,265204,3609632,40894
1784215296,2.15,265796,3609944,41868
1784215297,2.15,265180,3609760,40894
1784215298,2.15,265904,3609792,40894
1784215299,2.14,265548,3609540,40894
1784215300,2.14,265944,3609396,40407
1784215301,2.14,266128,3609612,41868
1784215302,2.14,265844,3609748,42355
1784215303,2.14,265704,3609888,40407
1784215304,2.21,266184,3609408,40894
1784215305,2.21,265916,3609424,41381
1784215306,2.21,266104,3609456,41381
1784215307,2.21,265704,3609888,41381
1784215308,2.27,265600,3609992,40407
1784215310,2.27,265624,3609968,41381
1784215311,2.27,265536,3609804,41381
1784215312,2.27,265264,3610076,41868
