ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784671151,1.80,273088,3602800,38946
1784671152,1.80,293276,3582316,39433
1784671153,1.82,292804,3582536,38946
1784671154,1.82,292992,3582348,39433
1784671155,1.82,293748,3581844,39433
1784671156,1.82,294000,3581592,39920
1784671157,1.82,293956,3581404,38946
1784671188,1.99,293256,3582188,39920
1784671189,1.99,292972,3582620,38946
1784671190,1.99,293792,3581800,40894
1784671191,1.99,291856,3583736,39920
1784671192,1.99,290444,3585888,39433
1784671193,2.00,288192,3587400,39920
1784671195,2.00,287272,3588320,39920
1784671196,2.00,286060,3589976,40407
1784671197,2.00,285360,3590232,40407
1784671198,2.00,284564,3590776,40407
1784671199,2.00,284064,3591676,39920
1784671200,2.00,291860,3583732,39433
1784671201,2.00,291336,3584004,40407
1784671202,2.00,291484,3584108,39920
1784671203,2.00,290564,3584880,40894
1784671204,2.00,290984,3584608,40407
1784671205,2.00,290400,3584540,39433
1784671206,2.00,291304,3584288,39920
1784671207,2.00,290536,3585056,39433
1784671208,2.08,290200,3585392,39920
1784671209,2.08,289536,3586056,39920
